LC-IMPACT_Name,Formula,Radiative Forcing 100(W m-2 yr kg-1),Temperature increase (C/kg),US_EPA_Name
"HFE-43-10pccc124(H-Galden 1040x,HG-11)",CHF2OCF2OC2F4OCHF2,2.58E-10,2.58E-10,-
HFE-449s1 (HFE-7100),C4F9OCH3,3.86E-11,3.86E-11,-
n-HFE-7100,n-C4F9OCH3,4.45E-11,4.45E-11,-
i-HFE-7100,i-C4F9OCH3,3.73E-11,3.73E-11,-
HFE-569sf2 (HFE-7200),C4F9OC2H5,5.21E-12,5.21E-12,-
n-HFE-7200,n-C4F9OC2H5,5.92E-12,5.92E-12,-
i-HFE-7200,i-C4F9OC2H5,4.06E-12,4.06E-12,-
HFE-236ca12 (HG-10),CHF2OCF2OCHF2,4.91E-10,4.91E-10,-
HFE-338pcc13 (HG-01),CHF2OCF2CF2OCHF2,2.67E-10,2.67E-10,HFE-338pcc13 (HG-01)
"1,1,1,3,3,3-Hexafluoropropan-2-ol",(CF3)2CHOH,1.67E-11,1.67E-11,-
HG-02,HF2C?(OCF2CF2)2?OCF2H,2.50E-10,2.50E-10,-
HG-03,HF2C?(OCF2CF2)3?OCF2H,2.62E-10,2.62E-10,-
HG-20,HF2C?(OCF2)2?OCF2H,4.86E-10,4.86E-10,-
HG-21,HF2C?OCF2CF2OCF2OCF2O?CF2H,3.57E-10,3.57E-10,-
HG-30,HF2C?(OCF2)3?OCF2H,6.73E-10,6.73E-10,-
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",CF3CF2CF2OCH2CH3,5.56E-12,5.56E-12,-
Fluoroxene,CF3CH2OCH=CH2,4.97E-15,4.97E-15,-
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",CH2FOCF2CF2H,7.99E-11,7.99E-11,-
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",C12H5F19O2,5.09E-12,5.09E-12,-
Fluoro(methoxy)methane,CH3OCH2F,1.15E-12,1.15E-12,-
Difluoro(methoxy)methane,CH3OCHF2,1.32E-11,1.32E-11,-
Fluoro(fluoromethoxy)methane,CH2FOCH2F,1.20E-11,1.20E-11,-
Difluoro(fluoromethoxy)methane,CH2FOCHF2,5.66E-11,5.66E-11,-
Trifluoro(fluoromethoxy)methane,CH2FOCF3,6.89E-11,6.89E-11,-
HG'-01,CH3OCF2CF2OCH3,2.03E-11,2.03E-11,-
HG'-02,CH3O(CF2CF2O)2CH3,2.16E-11,2.16E-11,-
HG'-03,CH3O(CF2CF2O)3CH3,2.03E-11,2.03E-11,-
HFE-329me3,CF3CFHCF2OCF3,4.17E-10,4.17E-10,-
