ecoinvent id,ecoinvent activity label,label IO product
63e16ad7-9a8d-4676-87e4-d90dcb658852,"bitumen seal production, VA4",Other non-metallic mineral products
804d658f-a777-4e9b-af46-082cb9175836,blast furnace production,Machinery and equipment n.e.c.
a7ecc44b-e099-4131-b4db-e993964f5529,blast oxygen furnace converter production,Machinery and equipment n.e.c.
0f482e37-d351-4f1d-8834-7e2d9482c853,blasting,Chemicals nec
11dd5c3c-2f41-4aff-a31b-04b790b3a7eb,blister-copper conversion facility construction,Construction work
b9b7283c-cf06-429f-a521-6834ffec27b2,blow moulding production,"Plastics, basic"
60015b28-e75f-4976-a15e-8943f62e4934,"blower and heat exchange unit production, Avent E 97",Machinery and equipment n.e.c.
ba2ccb99-24bb-401e-b5e1-38460428fc35,"blower and heat exchange unit production, central, 600-1200 m3/h",Machinery and equipment n.e.c.
87f634f7-e0d9-42ec-9a51-94c81693b9f5,"blower and heat exchange unit production, decentralized, 180-250 m3/h",Machinery and equipment n.e.c.
3afc3e40-0ecc-442f-8ccb-7ceec1916266,"blower and heat exchange unit production, GE 250 RH",Machinery and equipment n.e.c.
478d954f-37ec-44b3-a1e9-095c399aed8a,"blower and heat exchange unit production, KWL 250",Machinery and equipment n.e.c.
1f4e2f02-fab9-41b7-836e-d1a838df5bfc,"blower and heat exchange unit production, KWLC 1200",Machinery and equipment n.e.c.
e7369f76-fb52-423a-bdd1-858d312e5029,"blower and heat exchange unit production, Storkair G 90",Machinery and equipment n.e.c.
2e427990-0297-4c27-a717-d94ffe5f6311,"blower and heat exchange unit production, Twl-700",Machinery and equipment n.e.c.
2e1b00fe-5c8a-4958-a5aa-89caa0ead90e,"board, hardwood, raw, air drying to u=20%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
3636dae8-a330-482f-8eb2-470e98385add,"board, hardwood, raw, kiln drying to u=10%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
461e98b3-aca7-4944-8cc1-b9ab19a313de,"board, hardwood, raw, kiln drying to u=20%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
9a4c6600-cbb3-4599-9483-dcf80a048c32,"board, softwood, raw, air drying to u=20%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
2a385945-5f50-47e8-89a1-d79222ea9b65,"board, softwood, raw, kiln drying to u=10%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
d72517ff-e761-495d-974f-29e4d693f3f5,"board, softwood, raw, kiln drying to u=20%",Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
98c5bc58-3e5d-4844-bc5f-830dcc9d0456,"borax production, anhydrous, powder",Chemicals nec
7f8d81c1-5bdf-402c-b4ee-fc7d570e889e,"borehole heat exchanger production, 150m",Machinery and equipment n.e.c.
252d25f3-cd32-437e-b5d1-b66589646818,"boric acid production, anhydrous, powder",Chemicals nec
655adaad-a230-4ea2-9660-d03c2049f9f5,boric oxide production,Chemicals nec
592c537d-ea38-461c-816d-39680170c56e,boron carbide production,Chemicals nec
29060c31-3adb-4cac-8ea3-5b372c585b94,boron trifluoride production,Chemicals nec
a93da773-e873-478a-a603-f20c23872658,"brass drilling, computer numerical controlled",Secondary raw materials
2d2e0688-1f3c-46d5-8bf3-2a5710f20b31,"brass drilling, conventional",Secondary raw materials
da81cac9-15ef-405b-9b0e-a2da7bff35db,brass production,"Fabricated metal products, except machinery and equipment"
242d88cf-aa1f-42ba-93bb-6bf2904ee69c,"brass turning, average, computer numerical controlled",Secondary raw materials
30e67b4b-ea8a-4cd3-a740-c5e5eac470e3,"brass turning, average, conventional",Secondary raw materials
1cc8e07f-d23d-41b7-b739-83580f33a179,"brass turning, primarily dressing, computer numerical controlled",Secondary raw materials
9c535ee3-ed9a-4975-ae51-aaa8809aab29,"brass turning, primarily dressing, conventional",Secondary raw materials
7849ee3c-a1f9-48ca-9680-853127d3bbce,"brass turning, primarily roughing, computer numerical controlled",Secondary raw materials
c860751c-5e69-40d0-ab02-c18138510ab6,"brass turning, primarily roughing, conventional",Secondary raw materials
3f808498-cd48-4dd1-805c-e706134af22f,"brazing solder production, cadmium free",Chemicals nec
10e878ed-e901-4535-904f-71fadefa6275,brick production facility construction,Construction work
