"© and creator: GreenDelta GmbH 2015 and JRC. The mapping lists are provided under the GNU Affero general public license, AGPL 3, http://www.gnu.org/licenses/agpl-3.0.en.html.",,,,,,,,,,,,,,,,,,,,,,,,,
ecoinvent_id,ecoinvent_unit_id,ecoinvet_casnumber,ecoinvent_formula,ecoinvent_name,ecoinvent_unit,ecoinvent_subcompartmentid,ecoinvent_compartment,ecoinvent_subcompartment,ecoinvent_synonym,ILCD_ID,ILCD_NAME,ILCD_CAS,ILCD_SYNONYMS,ILCD_FLOW_PROPERTY_ID,ILCD_FLOW_PROPERTY,ILCD_UNIT,ILCD_CATEGORY_0,ILCD_CATEGORY_1,ILCD_CATEGORY_2,CONVERSION_FACTOR,PROXY_BY_NAME,,,,
651cbfbb-3027-4e20-a5b0-4a67e86e837a,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,7011f0aa-f5f9-4901-8c10-884ad8296812,air,unspecified,amylene,fe0acd60-3ddc-11dd-9fe2-0050c2490048,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,"Emissions to air, unspecified",1,FALSE,,,,
47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,23dbff79-8037-43e7-b270-5a3da416a284,air,"low population density, long-term",amylene,fe0acd60-3ddc-11dd-9fe3-0050c2490048,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,"Emissions to air, unspecified (long-term)",1,FALSE,,,,
7a41be00-7040-4097-99be-a8085e86bf5e,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,a119c440-7e83-4655-a874-97fe1468315a,water,ground-,amylene,f214d52e-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to fresh water,1,FALSE,,,,
f3cf9958-739f-41c1-a679-f550cf0e9b6c,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,963f8022-3e2e-4be9-ad4d-b3b7a2282099,water,surface water,amylene,f214d52e-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to fresh water,1,FALSE,,,,
87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,f335ce0e-b830-475a-adab-03858d9cbdaf,air,lower stratosphere + upper troposphere,amylene,f214d52f-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to lower stratosphere and upper troposphere,1,FALSE,,,,
ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,be7e06e9-0bf5-462e-99dc-fe4aee383c48,air,non-urban air or from high stacks,amylene,fe0acd60-3ddc-11dd-9fe5-0050c2490048,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to non-urban air or from high stacks,1,FALSE,,,,
9d99096b-4e70-452b-9e3b-b2296613bc0f,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,65f8d2a1-63ed-479c-b86c-3bcf38e86320,water,ocean,amylene,f214d531-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to sea water,1,FALSE,,,,
8cbaa905-41b0-4327-8403-bf1c8eb25429,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,e8d7772c-55ca-4dd7-b605-fee5ae764578,air,urban air close to ground,amylene,fe0acd60-3ddc-11dd-9fe4-0050c2490048,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to urban air close to ground,1,FALSE,,,,
109c3ee9-b9df-4c11-bd77-b8571773d9ad,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,e47f0a6c-3be8-4027-9eee-de251784f708,water,unspecified,amylene,f214d533-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,"Emissions to water, unspecified",1,FALSE,,,,
4530576f-7f93-4c43-b13e-8cd2da98f501,487df68b-4994-4027-8fdc-a4dc298257b7,000109-67-1,,1-Pentene,kg,aa4362e0-b20a-448b-b2a0-261f4510deb5,water,"ground-, long-term",amylene,f214d534-6555-11dd-ad8b-0800200c9a66,1-pentene,000109-67-1,".alpha.-n-Amylene;1-Amylene;1-Pentylene;1-n-Pentene;AC1L1Q1L;AC1Q2UPG;Alkenes, C5-9 alpha-;CPD-9111;OR5326;P0316;PENTENE;Pent-1-ene;Pentene (petroleum);Pentylene;Propylethylene;S0335;Steam cracked pentenes (petroleum);alpha (C5-C9) olefins(petroleum);alp",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,"Emissions to water, unspecified (long-term)",1,FALSE,,,,
