Secondary lead for treatment; Re-processing of secondary lead into new lead,p27.43.w,C_LZTW,"Secondary lead for treatment, Re-processing of secondary lead into new lead",p27.43.w,C_LZTW
Copper products,p27.44,C_COPP,Copper products,p27.44,C_COPP
Secondary copper for treatment; Re-processing of secondary copper into new copper,p27.44.w,C_COPW,"Secondary copper for treatment, Re-processing of secondary copper into new copper",p27.44.w,C_COPW
Other non-ferrous metal products,p27.45,C_ONFM,Other non-ferrous metal products,p27.45,C_ONFM
Secondary other non-ferrous metals for treatment; Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,p27.45.w,C_ONFW,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",p27.45.w,C_ONFW
Foundry work services,p27.5,C_METC,Foundry work services,p27.5,C_METC
Fabricated metal products; except machinery and equipment (28),p28,C_FABM,"Fabricated metal products, except machinery and equipment (28)",p28,C_FABM
Machinery and equipment n.e.c. (29),p29,C_MACH,Machinery and equipment n.e.c. (29),p29,C_MACH
Office machinery and computers (30),p30,C_OFMA,Office machinery and computers (30),p30,C_OFMA
Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA
Radio; television and communication equipment and apparatus (32),p32,C_RATV,"Radio, television and communication equipment and apparatus (32)",p32,C_RATV
Medical; precision and optical instruments; watches and clocks (33),p33,C_MEIN,"Medical, precision and optical instruments, watches and clocks (33)",p33,C_MEIN
Motor vehicles; trailers and semi-trailers (34),p34,C_MOTO,"Motor vehicles, trailers and semi-trailers (34)",p34,C_MOTO
Other transport equipment (35),p35,C_OTRE,Other transport equipment (35),p35,C_OTRE
Furniture; other manufactured goods n.e.c. (36),p36,C_FURN,Furniture; other manufactured goods n.e.c. (36),p36,C_FURN
Secondary raw materials,p37,C_RYMS,Secondary raw materials,p37,C_RYMS
