EXIOBASE 3;;;;US EPA;;;;;;;;;;;;;;;;;;;;;;;
Emission name;Unit ;Compartment;;Flowable;CAS No;Formula;Synonyms;Flow quality;Unit;Directionality;Compartment;External reference;Preferred;Class;Flow UUID;Compartment UUID;Unit UUID;Quality UUID;;;;;;;;;
NMVOC;tonnes;air;;Pentane;109-66-0;C5H12;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47340;1;Chemicals;48117353-2f34-3cad-b0fa-9fa20d08961c;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
NMVOC;tonnes;air;;2-Methylbutane;78-78-4;C5H12;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=48756;1;Chemicals;e0506fe6-742b-3475-87f2-db84c2a73c90;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
NMVOC;tonnes;air;;Hexane;110-54-3;C6H14;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47684;1;Chemicals;32b45c33-4d5e-3e06-a680-cd244d51576e;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
NMVOC;tonnes;air;;Hexane;110-54-3;C6H14;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47684;1;Chemicals;32b45c33-4d5e-3e06-a680-cd244d51576e;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;6;14;1;1
NMVOC;tonnes;air;;Octane;111-65-9;C8H18;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46895;1;Chemicals;75ccd2c0-54ab-3162-a649-5ce264b4974e;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;8;18;1;1
NMVOC;tonnes;air;;Decane;124-18-5;C10H22;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46801;1;Chemicals;65992fbe-3702-39e5-b31b-d8c8f30ca60d;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;10;22;1;1
NMVOC;tonnes;air;;Heptane;142-82-5;C7H16;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46520;1;Chemicals;934d8444-4197-3f4e-a7a4-bff24d44ccc0;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;7;16;1;1
NMVOC;tonnes;air;;2-Methylpentane;107-83-5;C6H14;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47443;1;Chemicals;5e24c1fe-e9cc-3829-9385-cbfcc6e772ab;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;6;14;1;1
NMVOC;tonnes;air;;Dodecane;112-40-3;C12H26;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47272;1;Chemicals;05050cb5-6368-3dd5-915e-4d8edf3cd954;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;12;26;1;1
NMVOC;tonnes;air;;Eicosane;112-95-8;C20H42;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47183;1;Chemicals;325aff64-5b44-363b-a956-5f51235ff60e;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;20;42;1;1
