SITC4code,SITC4part,CPC2code,CPC2part
268.3,0,2943,0
268.5,0,2942,1
268.62,0,39213,0
268.63,0,26140,0
268.69,0,39212,0
268.71,0,26150,1
268.73,0,26150,1
268.77,0,26150,1
269.01,0,39217,0
269.02,0,39218,0
272.1,0,34654,0
272.2,0,34150,1
272.31,0,16110,1
272.32,0,16110,1
273.11,0,15110,0
273.12,0,15120,0
273.13,0,15130,1
273.22,0,15200,1
273.23,0,15200,1
273.24,0,37410,0
273.31,0,15310,1
273.39,0,15310,1
273.4,1,15320,0
273.4,1,37940,1
274.1,0,34520,0
274.2,0,16120,0
277.11,0,16320,1
277.19,0,38230,1
277.21,0,38230,1
277.22,0,16320,1
277.23,0,16320,1
278.22,0,16390,1
278.23,1,16330,1
278.23,1,37450,0
278.24,0,16390,1
278.25,0,16390,1
278.26,0,15400,1
278.27,0,15400,1
278.29,0,15400,1
278.3,0,16200,0
278.4,0,16390,1
278.51,1,15130,1
278.51,1,16390,1
278.52,1,16390,1
278.52,1,39290,1
278.53,0,16390,1
278.54,0,16190,1
278.61,0,39310,1
278.62,0,39310,1
278.69,0,39290,1
278.91,0,16330,1
278.92,0,16190,1
278.93,0,16390,1
278.94,0,16190,1
278.95,0,16390,1
278.96,0,12030,0
278.97,0,15330,0
278.98,0,16390,1
278.99,0,16190,1
281.4,0,34530,0
281.5,0,14100,1
281.6,0,14100,1
282.1,0,39340,1
282.21,0,39340,1
282.29,0,39340,1
282.31,0,39340,1
282.32,0,39340,1
282.33,0,39350,0
282.39,0,39340,1
283.1,0,14210,0
283.2,0,41411,0
284.1,0,14220,0
284.21,0,41421,1
284.22,0,41421,1
285.1,0,14230,0
285.2,0,41432,0
286.1,0,13000,1
286.2,0,13000,1
287.4,0,14290,1
287.5,0,14290,1
287.6,0,14290,1
287.7,0,14290,1
287.81,0,14290,1
287.82,0,14290,1
287.83,0,14290,1
287.84,0,14290,1
287.85,0,14290,1
287.91,0,14290,1
287.92,0,14290,1
287.93,0,14290,1
287.99,0,14290,1
288.1,0,39320,0
288.21,0,39361,0
288.22,0,39362,0
288.23,0,39363,0
288.24,0,39364,0
288.25,0,39365,0
288.26,0,39366,0
289.11,0,14240,1
289.19,0,14240,1
289.21,0,39332,1
289.29,0,39332,1
291.11,0,39110,1
291.15,0,4910,0
291.16,0,39110,1
291.91,0,38971,0
291.92,0,39110,1
291.93,1,21151,1
291.93,1,21152,1
291.93,1,21153,1
291.93,1,21155,1
291.93,1,21156,1
291.93,1,39110,1
291.94,0,2411,0
291.95,0,39110,1
291.96,0,21299,0
291.98,0,39110,1
291.99,1,2419,0
291.99,1,2420,0
291.99,1,4920,0
291.99,1,39110,1
292.22,0,3219,1
292.29,0,3219,1
292.31,0,3250,1
292.32,0,3250,1
292.39,0,3250,1
292.42,0,1930,1
292.49,0,1930,1
292.51,0,1803,0
292.52,0,1940,0
292.53,0,1963,0
292.54,0,1260,0
292.59,0,1360,0
292.61,0,1961,1
292.69,0,1961,1
292.71,0,1962,0
292.72,1,3241,0
292.72,1,3249,0
292.94,1,1930,1
292.94,1,23999,1
292.95,0,23999,1
292.96,0,23999,1
292.97,0,4930,0
292.99,0,3250,1
321.1,0,11010,1
321.21,0,11010,1
321.22,0,11010,1
322.1,0,11020,0
322.21,0,11030,0
322.22,0,11040,0
322.3,0,11050,0
325,0,33100,0
333,0,12010,0
334.6,1,33310,0
