ISIC4code,ISIC4part,NACE2code,NACE2part
3822,0,38.22,0
383,0,38.3,0
3830,1,38.31,0
3830,1,38.32,0
39,0,39,0
390,0,39,0
3900,0,39,0
F,0,F,0
41,0,41,0
410,1,41.1,0
4100,1,41.1,0
410,1,41.2,0
4100,1,41.2,0
42,0,42,0
421,0,42.1,0
4210,1,42.11,0
4210,1,42.12,0
4210,1,42.13,0
422,0,42.2,0
4220,1,42.21,0
4220,1,42.22,0
429,0,42.9,0
4290,1,42.91,0
4290,1,42.99,0
43,0,43,0
431,0,43.1,0
4311,0,43.11,0
4312,1,43.12,0
4312,1,43.13,0
432,0,43.2,0
4321,0,43.21,0
4322,0,43.22,0
4329,0,43.29,0
433,0,43.3,0
4330,1,43.31,0
4330,1,43.32,0
4330,1,43.33,0
4330,1,43.34,0
4330,1,43.39,0
439,0,43.9,0
4390,1,43.91,0
4390,1,43.99,0
G,0,G,0
45,0,45,0
451,0,45.1,0
4510,1,45.11,0
4510,1,45.19,0
452,0,45.2,0
4520,0,45.2,0
453,0,45.3,0
4530,1,45.31,0
4530,1,45.32,0
454,0,45.4,0
4540,0,45.4,0
46,0,46,0
461,0,46.1,0
4610,1,46.11,0
4610,1,46.12,0
4610,1,46.13,0
4610,1,46.14,0
4610,1,46.15,0
4610,1,46.16,0
4610,1,46.17,0
4610,1,46.18,0
4610,1,46.19,0
462,0,46.2,0
4620,1,46.21,0
4620,1,46.22,0
4620,1,46.23,0
4620,1,46.24,0
463,0,46.3,0
4630,1,46.31,0
4630,1,46.32,0
4630,1,46.33,0
4630,1,46.34,0
4630,1,46.35,0
4630,1,46.36,0
4630,1,46.37,0
4630,1,46.38,0
4630,1,46.39,0
464,0,46.4,0
4641,1,46.41,0
4641,1,46.42,0
4649,1,46.43,0
4649,1,46.44,0
4649,1,46.45,0
4649,1,46.46,0
4649,1,46.47,0
4649,1,46.48,0
4649,1,46.49,0
465,1,46.5,0
4651,0,46.51,0
4652,0,46.52,0
465,1,46.6,0
4653,0,46.61,0
4659,1,46.62,0
4659,1,46.63,0
4659,1,46.64,0
4659,1,46.65,0
4659,1,46.66,0
4659,1,46.69,0
466,0,46.7,0
4661,0,46.71,0
4662,0,46.72,0
4663,1,46.73,0
4663,1,46.74,0
4669,1,46.75,0
