hsut product name,hiot product name,predicate
Sea and coastal water transportation services,Sea and coastal water transportation services,OWL.SameAs
Inland water transportation services,Inland water transportation services,OWL.SameAs
Air transport services (62),Air transport services (62),OWL.SameAs
Supporting and auxiliary transport services; travel agency services (63),Supporting and auxiliary transport services; travel agency services (63),OWL.SameAs
Post and telecommunication services (64),Post and telecommunication services (64),OWL.SameAs
Financial intermediation services; except insurance and pension funding services (65),"Financial intermediation services, except insurance and pension funding services (65)",OWL.SameAs
Insurance and pension funding services; except compulsory social security services (66),"Insurance and pension funding services, except compulsory social security services (66)",OWL.SameAs
Services auxiliary to financial intermediation (67),Services auxiliary to financial intermediation (67),OWL.SameAs
Real estate services (70),Real estate services (70),OWL.SameAs
Renting services of machinery and equipment without operator and of personal and household goods (71),Renting services of machinery and equipment without operator and of personal and household goods (71),OWL.SameAs
Computer and related services (72),Computer and related services (72),OWL.SameAs
Research and development services (73),Research and development services (73),OWL.SameAs
Other business services (74),Other business services (74),OWL.SameAs
Public administration and defence services; compulsory social security services (75),Public administration and defence services; compulsory social security services (75),OWL.SameAs
Education services (80),Education services (80),OWL.SameAs
Health and social work services (85),Health and social work services (85),OWL.SameAs
Food waste for treatment: incineration,Food waste for treatment: incineration,OWL.SameAs
Paper waste for treatment: incineration,Paper waste for treatment: incineration,OWL.SameAs
Plastic waste for treatment: incineration,Plastic waste for treatment: incineration,OWL.SameAs
Intert/metal waste for treatment: incineration,Intert/metal waste for treatment: incineration,OWL.SameAs
Textiles waste for treatment: incineration,Textiles waste for treatment: incineration,OWL.SameAs
Wood waste for treatment: incineration,Wood waste for treatment: incineration,OWL.SameAs
Oil/hazardous waste for treatment: incineration,Oil/hazardous waste for treatment: incineration,OWL.SameAs
Food waste for treatment: biogasification and land application,Food waste for treatment: biogasification and land application,OWL.SameAs
Paper waste for treatment: biogasification and land application,Paper waste for treatment: biogasification and land application,OWL.SameAs
Sewage sludge for treatment: biogasification and land application,Sewage sludge for treatment: biogasification and land application,OWL.SameAs
Food waste for treatment: composting and land application,Food waste for treatment: composting and land application,OWL.SameAs
Paper and wood waste for treatment: composting and land application,Paper and wood waste for treatment: composting and land application,OWL.SameAs
Food waste for treatment: waste water treatment,Food waste for treatment: waste water treatment,OWL.SameAs
Other waste for treatment: waste water treatment,Other waste for treatment: waste water treatment,OWL.SameAs
Food waste for treatment: landfill,Food waste for treatment: landfill,OWL.SameAs
Paper for treatment: landfill,Paper for treatment: landfill,OWL.SameAs
Plastic waste for treatment: landfill,Plastic waste for treatment: landfill,OWL.SameAs
Inert/metal/hazardous waste for treatment: landfill,Inert/metal/hazardous waste for treatment: landfill,OWL.SameAs
Textiles waste for treatment: landfill,Textiles waste for treatment: landfill,OWL.SameAs
Wood waste for treatment: landfill,Wood waste for treatment: landfill,OWL.SameAs
Membership organisation services n.e.c. (91),Membership organisation services n.e.c. (91),OWL.SameAs
Recreational; cultural and sporting services (92),"Recreational, cultural and sporting services (92)",OWL.SameAs
Other services (93),Other services (93),OWL.SameAs
Private households with employed persons (95),Private households with employed persons (95),OWL.SameAs
Extra-territorial organizations and bodies,Extra-territorial organizations and bodies,OWL.SameAs
